select title, length from sakila.film where length > 120

title	length
EXPECATIONS NATURAL	138
EXPRESS LONELY	178
EXTRAORDINARY CONQUERER	122
EYES DRIVING	172
FACTORY DRAGON	144
FAMILY SWEET	155
FANTASIA PARK	131
FARGO GANDHI	130
FERRIS MOTHER	142
FEVER EMPIRE	158
FINDING ANACONDA	156
FIRE WOLVES	173
FIREBALL PHILADELPHIA	148
FISH OPUS	125
FLASH WARS	123
FLIGHT LIES	179
FLINTSTONES HAPPINESS	148
FLOATS GARDEN	145
FOOL MOCKINGBIRD	158
FOREVER CANDIDATE	131
FRANKENSTEIN STRANGER	159
FREAKY POCUS	126
FREEDOM CLEOPATRA	133
FRONTIER CABIN	183
FURY MURDER	178
GABLES METROPOLIS	161
GALAXY SWEETHEARTS	128
GANGS PRIDE	185
GATHERING CALENDAR	176
GENTLEMEN STAGE	125
GILMORE BOILED	163
GLADIATOR WESTWARD	173
GOLD RIVER	154
GOLDMINE TYCOON	153
GOSFORD DONNIE	129
GRACELAND DYNAMITE	140
GRADUATE LORD	156
GRAPES FURY	155
GREASE YOUTH	135
GREEDY ROOTS	166
GREEK EVERYONE	176
GRINCH MASSAGE	150
GRIT CLOCKWORK	137
GROUNDHOG UNCUT	139
GUNFIGHTER MUSSOLINI	127
HALF OUTFIELD	146
HAMLET WISDOM	146
HAROLD FRENCH	168
HARRY IDAHO	121
HAUNTING PIANIST	181
HEDWIG ALTER	169
HOBBIT ALIEN	157
HOCUS FRIDA	141
HOLES BRANNIGAN	128
HOLLOW JEOPARDY	136
HOLOCAUST HIGHBALL	149
HOME PITY	185
HOMICIDE PEACH	141
HOOSIERS BIRDCAGE	176
HOPE TOOTSIE	139
HORROR REIGN	139
HOTEL HAPPINESS	181
HOURS RAGE	122
HUNCHBACK IMPOSSIBLE	151
HUNTER ALTER	125
HYSTERICAL GRAIL	150
ICE CROSSING	131
IDAHO LOVE	172
IGBY MAKER	160
ILLUSION AMELIE	122
IMAGE PRINCESS	178
IMPACT ALADDIN	180
INCH JET	167
INDEPENDENCE HOTEL	157
INDIAN LOVE	135
INNOCENT USUAL	178
INSECTS STONE	123
INTRIGUE WORST	181
ITALIAN AFRICAN	174
JACKET FRISCO	181
JADE BUNCH	174
JAPANESE RUN	135
JASON TRAP	130
JEDI BENEATH	128
JERICHO MULAN	171
JERK PAYCHECK	172
JINGLE SAGEBRUSH	124
JUMANJI BLADE	121
JUNGLE CLOSER	134
KENTUCKIAN GIANT	169
KICK SAVANNAH	179
KILLER INNOCENT	161
KING EVOLUTION	184
KISS GLORY	163
KISSING DOLLS	141
KRAMER CHOCOLATE	171
LAMBS CINCINATTI	144
LAWLESS VISION	181
LAWRENCE LOVE	175
LEATHERNECKS DWARFS	153
LESSON CLEOPATRA	167
LIAISONS SWEET	140
LIBERTY MAGNIFICENT	138
LIES TREATMENT	147
LIFE TWISTED	137
LIGHTS DEER	174
LOATHING LEGALLY	140
LOLITA WORLD	155
LOSE INCH	137
LOVE SUICIDES	181
LOVERBOY ATTACKS	162
LUCK OPUS	152
MADISON TRAP	147
MADNESS ATTACKS	178
MAGNOLIA FORRESTER	171
MAIDEN HOME	138
MAJESTIC FLOATS	130
MAKER GABLES	136
MALKOVICH PET	159
MALLRATS UNITED	133
MALTESE HOPE	127
MANCHURIAN CURTAIN	177
MASK PEACH	123
MASKED BUBBLE	151
MASSACRE USUAL	165
MASSAGE IMAGE	161
MENAGERIE RUSHMORE	147
METAL ARMAGEDDON	161
MIGHTY LUCK	122
MILLION ACE	142
MINDS TRUMAN	149
MINE TITANS	166
MIRACLE VIRTUAL	162
MISSION ZOOLANDER	164
MIXED DOORS	180
MODEL FISH	175
MONEY HAROLD	135
MONSOON CAUSE	182
MONTEREY LABYRINTH	158
MONTEZUMA COMMAND	126
MOONSHINE CABIN	171
MOONWALKER FOOL	184
MOTIONS DETAILS	166
MOURNING PURPLE	146
MULAN MOON	160
MULHOLLAND BEAST	157
MUMMY CREATURES	160
MURDER ANTITRUST	166
MUSCLE BRIGHT	185
MUSIC BOONDOCK	129
MUSSOLINI SPOILERS	180
NAME DETECTIVE	178
NASH CHOCOLAT	180
NECKLACE OUTBREAK	132
NEIGHBORS CHARADE	161
NEMO CAMPUS	131
NEWSIES STORY	159
NIGHTMARE CHILL	149
NORTHWEST POLISH	172
NOTORIOUS REUNION	128
NUTS TIES	145
OLEANDER CLUE	161
OPEN AFRICAN	131
OPERATION OPERATION	156
OUTBREAK DIVINE	169
OUTFIELD MASSACRE	129
OUTLAW HANKY	148
PACIFIC AMISTAD	144
PAJAMA JAWBREAKER	126
PAPI NECKLACE	128
PARIS WEEKEND	121
PAST SUICIDES	157
PATTON INTERVIEW	175
PAYCHECK WAIT	145
PEACH INNOCENT	160
PHILADELPHIA WIFE	137
PIANIST OUTFIELD	136
PITTSBURGH HUNCHBACK	134
PIZZA JUMANJI	173
PLATOON INSTINCT	132
POCUS PULP	138
POLLOCK DELIVERANCE	137
POND SEATTLE	185
POSEIDON FOREVER	159
POTLUCK MIXED	179
PRESIDENT BANG	144
PSYCHO SHRUNK	155
PURE RUNNER	121
QUEEN LUKE	163
QUEST MUSSOLINI	177
RACER EGG	147
RAGING AIRPLANE	154
RANGE MOONWALKER	147
REAP UNFAITHFUL	136
RECORDS ZORRO	182
REDEMPTION COMFORTS	179
REDS POCUS	182
REEF SALUTE	123
REQUIEM TYCOON	167
RIDER CADDYSHACK	177
RIGHT CRANES	153
RIVER OUTLAW	149
ROAD ROXANNE	158
ROBBERY BRIGHT	134
ROCKETEER MOTHER	178
ROCKY WAR	145
ROLLERCOASTER BRINGING	153
ROSES TREASURE	162
ROXANNE REBEL	171
RULES HUMAN	153
RUN PACIFIC	145
RUNAWAY TENENBAUMS	181
RUSHMORE MERMAID	150
SAINTS BRIDE	125
SANTA PARIS	154
SASSY PACKER	154
SATURDAY LAMBS	150
SATURN NAME	182
SCALAWAG DUCK	183
SCHOOL JACKET	151
SCISSORHANDS SLUMS	147
SCORPION APOLLO	137
SEARCHERS WAIT	182
SECRETARY ROUGE	158
SEVEN SWARM	127
SHINING ROSES	125
SHOW LORD	167
SHREK LICENSE	154
SHRUNK DIVINE	139
SIERRA DIVIDE	135
SINNERS ATLANTIS	126
SISTER FREDDY	152
SKY MIRACLE	132
SLACKER LIAISONS	179
SLEEPING SUSPECTS	129
SLEEPY JAPANESE	137
SLIPPER FIDELITY	156
SLUMS DUCK	147
SMOOCHY CONTROL	184
SOLDIERS EVOLUTION	185
SOMETHING DUCK	180
SONG HEDWIG	165
SONS INTERVIEW	184
SORORITY QUEEN	184
SOUP WISDOM	169
SOUTH WAIT	143
SPEAKEASY DATE	165
SPEED SUIT	124
SPICE SORORITY	141
SPINAL ROCKY	138
SPIRIT FLINTSTONES	149
SPIRITED CASUALTIES	138
SPLASH GUMP	175
SPLENDOR PATTON	134
SPOILERS HELLFIGHTERS	151
SQUAD FISH	136
STALLION SUNDANCE	130
STAR OPERATION	181
STEEL SANTA	143
STEERS ARMAGEDDON	140
STOCK GLASS	160
STORY SIDE	163
STRAIGHT HOURS	151
STRANGER STRANGERS	139
STREAK RIDGEMONT	132
STRICTLY SCARFACE	144
SUBMARINE BED	127
SUN CONFESSIONS	141
SUNRISE LEAGUE	135
SWARM GOLD	123
SWEDEN SHINING	176
SWEET BROTHERHOOD	185
TADPOLE PARK	155
TALENTED HOMICIDE	173
TELEGRAPH VOYAGE	148
TELEMARK HEARTBREAKERS	152
TEXAS WATCH	179
THEORY MERMAID	184
THIEF PELICAN	135
TIGHTS DAWN	172
TOMORROW HUSTLER	142
TOOTSIE PILOT	157
TORQUE BOUND	179
TOURIST PELICAN	152
TOWERS HURRICANE	144
TOWN ARK	136
TRACY CIDER	142
TRADING PINOCCHIO	170
TRAFFIC HOBBIT	139
TRAINSPOTTING STRANGERS	132
TRAMP OTHERS	171
TRANSLATION SUMMER	168
TUXEDO MILE	152
TWISTED PIRATES	152
UNCUT SUICIDES	172
UNFORGIVEN ZOOLANDER	129
UNITED PILOT	164
UPRISING UPTOWN	174
USUAL UNTOUCHABLES	128
VACATION BOONDOCK	145
VAMPIRE WHALE	126
VANILLA DAY	122
VANISHED GARDEN	142
VANISHING ROCKY	123
VELVET TERMINATOR	173
VIDEOTAPE ARSENIC	145
VIETNAM SMOOCHY	174
VIRGIN DAISY	179
VIRGINIAN PLUTO	164
VIRTUAL SPOILERS	144
VOICE PEACH	139
VOLCANO TEXAS	157
VOLUME HOUSE	132
WAGON JAWS	152
WALLS ARTIST	135
WARDROBE PHANTOM	178
WARS PLUTO	128
WASH HEAVENLY	161
WEEKEND PERSONAL	134
WEST LION	159
WIFE TURN	183
WILD APOLLO	181
WILLOW TRACY	137
WOMEN DORADO	126
WONDERFUL DROP	126
WORKER TARZAN	139
WORLD LEATHERNECKS	171
WORST BANGER	185
WRATH MILE	176
WRONG BEHAVIOR	178
YOUNG LANGUAGE	183
YOUTH KICK	179
